Familia;Formato;Color;Modelo;;Imagen;Desc._Familia;Desc._Articulo;Estado;Tarifa;Tarifa_Cial.;PV_Calidad_100;Grupo_Tarifa;Desc._Caja;Desc._Marca;Desc._Envase;EAN13;;Cod._SASO;UM;Pz/Caja;M2/Caja;Cj/Pallet;M2/Pallet;Kg/Caja;Kg/Pallet;Largo_PL_cm;Ancho_PL_cm;Alto_PL_cm;Remontable;Espesor_(mm);Fecha_de_alta;Desc._Marca_web;Desc._Serie_promo;Desc._Familia_web;Id._Articulo;Moodboard;Coleccion_web;Serie_web;Efecto_web;Gama_web;Tipo_de_uso;Tipo_complementario;Tipo_clasificacion;Acabado_pieza_web;Variacion_cromatica;Relieve_web;Relieve;Texturizado;Graficas;UNE-EN_ISO_10545-7;UNE_41901:2017_EX;Deslizamiento_DIN_51130;DIN_51097;Grupo_B(X)_UNE-EN_14411;Tipo_baldosa;PTV_(DRY);PTV_(WET);UPEC;DCOF_ANSI_A326.3;Resistencia_flexion;Marca_web;Ref._Catalogo;Formato;Catalogo_web;URL_imagen_PIM;Estado_PIM;Ancho;Alto;Espesor_mm;area;Medida;Nombre;Color_ok;Imagen_web;Num_Pagina
4;120;163;16061;0041200040973;SI;PUL.COMP.;120x120 CROWN CREAM;A;SI;;0.0000;POL19;PAMESA;PAMESA;23/36/01;8429991189860;;8429991773199;M2;1;1.44;36;51.84;34.36;1,276.96;126.00;126.00;71.00;;;29/10/2025;PAMESA;PAMESA;GRES PORCELNICO ESMALTADO PULIDO RECTF.;0041200040973;;POLISHED;CROWN;MARMOL;;POLIVALENTE;BASE;BASE;PULIDO;VARIACION MODERADA;;NO;;;;CLASE 0;;;GRUPO BIa;GL Esmaltado;;;NO;;1600-2400 N - 35-45 N/mm2;1;004.120.0163.16061;120X120;CATLOGO PAMESA;;;120;120;10.2;14400;120x120;CROWN;CREAM;https://www.pamesa.com/ERP/4.0/empresas/151/045/imagenes/t00010602/0041200040973.jpg;???
17;120;163;16061;0171200040977;SI;REC.GLASS;120x120 CROWN CREAM;A;SI;;0.0000;POL18;PAMESA;PAMESA;23/36/01;8429991189907;;8429991773199;M2;1;1.44;36;51.84;34.36;1,276.96;126.00;126.00;71.00;;;29/10/2025;PAMESA;PAMESA;GRES PORCELNICO ESMALTADO;0171200040977;;POLISHED;CROWN;MARMOL;;POLIVALENTE;BASE;BASE;SATEN RECTIFICADO;VARIACION MODERADA;;NO;;;;CLASE 0;;;GRUPO BIa;GL Esmaltado;;;NO;;1600-2400 N - 35-45 N/mm2;1;017.120.0163.16061;120X120;CATLOGO PAMESA;;;120;120;10.2;14400;120x120;CROWN;CREAM;https://www.pamesa.com/ERP/4.0/empresas/151/045/imagenes/t00010602/0171200040977.jpg;???
4;120;169;16061;0041200040975;SI;PUL.COMP.;120x120 CROWN PEARL;A;SI;;0.0000;POL19;PAMESA;PAMESA;23/36/01;8429991189884;;8429991773199;M2;1;1.44;36;51.84;34.36;1,276.96;126.00;126.00;71.00;;;29/10/2025;PAMESA;PAMESA;GRES PORCELNICO ESMALTADO PULIDO RECTF.;0041200040975;;POLISHED;CROWN;MARMOL;;POLIVALENTE;BASE;BASE;PULIDO;VARIACION MODERADA;;NO;;;;CLASE 0;;;GRUPO BIa;GL Esmaltado;;;NO;;1600-2400 N - 35-45 N/mm2;1;004.120.0169.16061;120X120;CATLOGO PAMESA;;;120;120;10.2;14400;120x120;CROWN;PEARL;https://www.pamesa.com/ERP/4.0/empresas/151/045/imagenes/t00010602/0041200040975.jpg;???
17;120;169;16061;0171200040979;SI;REC.GLASS;120x120 CROWN PEARL;A;SI;;0.0000;POL18;PAMESA;PAMESA;23/36/01;8429991189921;;8429991773199;M2;1;1.44;36;51.84;34.36;1,276.96;126.00;126.00;71.00;;;29/10/2025;PAMESA;PAMESA;GRES PORCELNICO ESMALTADO;0171200040979;;POLISHED;CROWN;MARMOL;;POLIVALENTE;BASE;BASE;SATEN RECTIFICADO;VARIACION MODERADA;;NO;;;;CLASE 0;;;GRUPO BIa;GL Esmaltado;;;NO;;1600-2400 N - 35-45 N/mm2;1;017.120.0169.16061;120X120;CATLOGO PAMESA;;;120;120;10.2;14400;120x120;CROWN;PEARL;https://www.pamesa.com/ERP/4.0/empresas/151/045/imagenes/t00010602/0171200040979.jpg;???
4;120;285;16061;0041200040974;SI;PUL.COMP.;120x120 CROWN TAUPE;A;SI;;0.0000;POL19;PAMESA;PAMESA;23/36/01;8429991189877;;8429991773199;M2;1;1.44;36;51.84;34.36;1,276.96;126.00;126.00;71.00;;;29/10/2025;PAMESA;PAMESA;GRES PORCELNICO ESMALTADO PULIDO RECTF.;0041200040974;;POLISHED;CROWN;MARMOL;;POLIVALENTE;BASE;BASE;PULIDO;VARIACION MODERADA;;NO;;;;CLASE 0;;;GRUPO BIa;GL Esmaltado;;;NO;;1600-2400 N - 35-45 N/mm2;1;004.120.0285.16061;120X120;CATLOGO PAMESA;;;120;120;10.2;14400;120x120;CROWN;TAUPE;https://www.pamesa.com/ERP/4.0/empresas/151/045/imagenes/t00010602/0041200040974.jpg;???
17;120;285;16061;0171200040978;SI;REC.GLASS;120x120 CROWN TAUPE;A;SI;;0.0000;POL18;PAMESA;PAMESA;23/36/01;8429991189914;;8429991773199;M2;1;1.44;36;51.84;34.36;1,276.96;126.00;126.00;71.00;;;29/10/2025;PAMESA;PAMESA;GRES PORCELNICO ESMALTADO;0171200040978;;POLISHED;CROWN;MARMOL;;POLIVALENTE;BASE;BASE;SATEN RECTIFICADO;VARIACION MODERADA;;NO;;;;CLASE 0;;;GRUPO BIa;GL Esmaltado;;;NO;;1600-2400 N - 35-45 N/mm2;1;017.120.0285.16061;120X120;CATLOGO PAMESA;;;120;120;10.2;14400;120x120;CROWN;TAUPE;https://www.pamesa.com/ERP/4.0/empresas/151/045/imagenes/t00010602/0171200040978.jpg;???
4;120;108;16061;0041200040972;SI;PUL.COMP.;120x120 CROWN WHITE;A;SI;;0.0000;POL19;PAMESA;PAMESA;23/36/01;8429991189853;;8429991773199;M2;1;1.44;36;51.84;34.36;1,276.96;126.00;126.00;71.00;;;29/10/2025;PAMESA;PAMESA;GRES PORCELNICO ESMALTADO PULIDO RECTF.;0041200040972;;POLISHED;CROWN;MARMOL;;POLIVALENTE;BASE;BASE;PULIDO;VARIACION MODERADA;;NO;;;;CLASE 0;;;GRUPO BIa;GL Esmaltado;;;NO;;1600-2400 N - 35-45 N/mm2;1;004.120.0108.16061;120X120;CATLOGO PAMESA;;;120;120;10.2;14400;120x120;CROWN;WHITE;https://www.pamesa.com/ERP/4.0/empresas/151/045/imagenes/t00010602/0041200040972.jpg;???
17;120;108;16061;0171200040976;SI;REC.GLASS;120x120 CROWN WHITE;A;SI;;0.0000;POL18;PAMESA;PAMESA;23/36/01;8429991189891;;8429991773199;M2;1;1.44;36;51.84;34.36;1,276.96;126.00;126.00;71.00;;;29/10/2025;PAMESA;PAMESA;GRES PORCELNICO ESMALTADO;0171200040976;;POLISHED;CROWN;MARMOL;;POLIVALENTE;BASE;BASE;SATEN RECTIFICADO;VARIACION MODERADA;;NO;;;;CLASE 0;;;GRUPO BIa;GL Esmaltado;;;NO;;1600-2400 N - 35-45 N/mm2;1;017.120.0108.16061;120X120;CATLOGO PAMESA;;;120;120;10.2;14400;120x120;CROWN;WHITE;https://www.pamesa.com/ERP/4.0/empresas/151/045/imagenes/t00010602/0171200040976.jpg;???
4;869;163;16061;0048690040989;SI;PUL.COMP.;60x120 CROWN CREAM;A;SI;;0.0000;POL13;PAMESA;PAMESA;L/32/02;8429991189945;;8429991773199;M2;2;1.44;32;46.08;34.25;1,121.00;122.00;84.00;75.00;;10.50;29/10/2025;PAMESA;PAMESA;GRES PORCELNICO ESMALTADO PULIDO RECTF.;0048690040989;;POLISHED;CROWN;MARMOL;;POLIVALENTE;BASE;BASE;PULIDO;VARIACION MODERADA;;NO;;;;CLASE 0;;;GRUPO BIa;GL Esmaltado;;;NO;;1600-2400 N - 35-45 N/mm2;1;004.869.0163.16061;60X120 RF;CATLOGO PAMESA;;;60;120;10.5;7200;60x120;CROWN;CREAM;https://www.pamesa.com/ERP/4.0/empresas/151/045/imagenes/t00010602/0048690040989.jpg;???
17;869;163;16061;0178690040993;SI;REC.GLASS;60x120 CROWN CREAM;A;SI;;0.0000;POL12;PAMESA;PAMESA;L/32/02;8429991189983;;8429991773199;M2;2;1.44;32;46.08;34.25;1,121.00;122.00;84.00;75.00;;10.50;29/10/2025;PAMESA;PAMESA;GRES PORCELNICO ESMALTADO;0178690040993;;POLISHED;CROWN;MARMOL;;POLIVALENTE;BASE;BASE;SATEN RECTIFICADO;VARIACION MODERADA;;NO;;;;CLASE 0;;;GRUPO BIa;GL Esmaltado;;;NO;;1600-2400 N - 35-45 N/mm2;1;017.869.0163.16061;60X120 RF;CATLOGO PAMESA;;;60;120;10.5;7200;60x120;CROWN;CREAM;https://www.pamesa.com/ERP/4.0/empresas/151/045/imagenes/t00010602/0178690040993.jpg;???
